ANT1	-12.89	104.13	0.00	2450AT18B100E_2450AT18B100E	2450AT18B100E_ANTC3216X140N
C1	-16.96	99.89	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C1-EP-DR	-12.11	107.03	0.00	10µF	NORDIC_NRF_3_RESC0201_L
C10	-33.24	107.79	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C11	-28.76	100.51	0.00	100pF	NORDIC_NRF_3_RESC0201_L
C12	-18.63	106.95	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C13	-30.81	96.60	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C14	-40.92	98.93	0.00	4.7µF	NORDIC_NRF_3_RESC0201_L
C15	-36.28	109.74	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C16	-34.26	111.84	0.00	27nF	NORDIC_NRF_3_RESC0201_L
C17	-30.55	108.56	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C18	-30.88	99.27	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C19	-45.09	87.83	177.50	100nF	NORDIC_NRF_3_RESC0201_L
C2	-17.87	105.08	270.00	12pF	NORDIC_NRF_3_RESC0201_L
C2-EP-DR	-12.23	101.20	0.00	4.7µF/25V	NORDIC_NRF_3_RESC0201_L
C20	-28.82	96.75	0.00	4.7µF	NORDIC_NRF_3_RESC0201_L
C21	-28.87	94.90	0.00	4.7µF	NORDIC_NRF_3_RESC0201_L
C22	-14.24	99.62	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C23	-17.03	93.45	0.00	0.1uF	NORDIC_NRF_3_RESC0201_L
C24	-17.04	94.60	0.00	10uF	NORDIC_NRF_3_RESC0201_L
C25	-15.94	89.98	180.00	22uF	NORDIC_NRF_3_RESC0201_L
C27	-48.61	91.73	270.70	GRM011R60J152KE01L_2_GRM011R60J152KE01L	GRM011R60J152KE01L_2_CAPC0201X13N
C29	-11.18	87.34	0.00	GRM011R60J152KE01L_2_GRM011R60J152KE01L	GRM011R60J152KE01L_2_CAPC0201X13N
C3	-17.36	97.17	0.00	1pF	NORDIC_NRF_3_RESC0201_L
C30	-34.30	87.38	0.00	GRM011R60J152KE01L_2_GRM011R60J152KE01L	GRM011R60J152KE01L_2_CAPC0201X13N
C31	-22.75	87.38	0.00	GRM011R60J152KE01L_2_GRM011R60J152KE01L	GRM011R60J152KE01L_2_CAPC0201X13N
C32	-33.66	105.67	0.00	1µF	NORDIC_NRF_3_RESC0201_L
C33	-17.32	89.98	180.00	22uF	NORDIC_NRF_3_RESC0201_L
C34	-33.69	102.73	0.00	0.1µF	NORDIC_NRF_3_RESC0201_L
C37	-22.03	91.42	181.90		NORDIC_NRF_3_RESC0201_L
C38	-22.66	92.94	0.00		NORDIC_NRF_3_RESC0201_L
C39	-24.26	92.36	0.00		NORDIC_NRF_3_RESC0201_L
C4	-14.33	97.56	0.00	1pF	NORDIC_NRF_3_RESC0201_L
C42	-23.26	104.35	270.00	GRM011R60J152KE01L_2_GRM011R60J152KE01L	GRM011R60J152KE01L_2_CAPC0201X13N
C43	-22.26	104.38	90.00	4.7uF 	NORDIC_NRF_3_RESC0201_L
C5	-27.26	91.53	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C6	-33.79	99.82	0.00	4.7µF	NORDIC_NRF_3_RESC0201_L
C7	-29.11	91.58	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C8	-20.53	94.54	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C9	-28.84	99.05	0.00	820pF	NORDIC_NRF_3_RESC0201_L
